id,team_id,regulation,name,item,ability,tera_type,hp_evs,atk_evs,def_evs,spatk_evs,spdef_evs,spe_evs,nature,move_1,move_2,move_3,move_4
1,1,Regulation Set A,Garganacl,Leftovers,Purifying Salt,Poison,252,0,60,0,196,0,Careful,Salt Cure,Recover,Wide Guard,Protect
2,1,Regulation Set A,Gholdengo,Choice Specs,Good as Gold,Steel,164,0,4,20,68,252,Timid,Make It Rain,Shadow Ball,Power Gem,Focus Blast
3,1,Regulation Set A,Meowscarada,Focus Sash,Overgrow,Grass,4,252,0,0,0,252,Adamant,Flower Trick,Knock Off,Sucker Punch,Protect
4,1,Regulation Set A,Mimikyu,Life Orb,Disguise,Ghost,4,252,0,0,0,252,Adamant,Play Rough,Shadow Claw,Shadow Sneak,Protect
5,1,Regulation Set A,Tauros-Paldea-Water,Safety Goggles,Intimidate,Water,244,28,68,0,12,156,Impish,Close Combat,Wave Crash,Aqua Jet,Protect
6,2,Regulation Set A,Arcanine,Assault Vest,Intimidate,Fairy,252,236,4,0,12,4,Adamant,Flare Blitz,Extreme Speed,Snarl,Play Rough
7,2,Regulation Set A,Pawmot,Focus Sash,Natural Cure,Electric,4,252,0,0,0,252,Jolly,Double Shock,Close Combat,Revival Blessing,Fake Out
8,2,Regulation Set A,Gholdengo,Life Orb,Good as Gold,Steel,124,0,4,124,4,252,Timid,Make It Rain,Shadow Ball,Nasty Plot,Protect
9,2,Regulation Set A,Tatsugiri,Choice Scarf,Commander,Water,4,0,44,204,4,252,Timid,Muddy Water,Draco Meteor,Soak,Icy Wind
10,2,Regulation Set A,Meowscarada,Choice Band,Protean,Grass,4,252,0,0,0,252,Jolly,U-turn,Flower Trick,Knock Off,Sucker Punch
11,2,Regulation Set A,Dondozo,Chesto Berry,Unaware,Dragon,4,236,4,0,12,252,Adamant,Wave Crash,Order Up,Earthquake,Rest
12,3,Regulation Set A,Indeedee-F,Psychic Seed,Psychic Surge,Psychic,244,0,252,4,4,4,Bold,Follow Me,Dazzling Gleam,Helping Hand,Protect
13,3,Regulation Set A,Armarouge,Life Orb,Flash Fire,Grass,228,0,20,252,4,4,Modest,Expanding Force,Armor Cannon,Trick Room,Protect
14,3,Regulation Set A,Maushold-Four,Wide Lens,Technician,Ghost,4,252,0,0,0,252,Jolly,Population Bomb,Encore,Follow Me,Protect
15,3,Regulation Set A,Hydreigon,Choice Specs,Levitate,Steel,4,0,0,252,0,252,Timid,Draco Meteor,Heat Wave,Dark Pulse,Flash Cannon
